# particle morphology
# using file: 44-05X-H.png
#
#x/µm	y/µm
-752.6883097109469	1541.4846361721732
-761.92506015978	1541.4846361721732
-771.1618106086129	1541.4846361721732
-780.3985610574459	1541.4846361721732
-789.635311506279	1541.4846361721732
-798.872061955112	1541.4846361721732
-808.1088124039451	1550.721386621006
-817.3455628527781	1550.721386621006
-826.5823133016112	1550.721386621006
-835.8190637504441	1550.721386621006
-845.0558141992772	1559.9581370698393
-854.2925646481102	1550.721386621006
-863.5293150969433	1550.721386621006
-872.7660655457763	1550.721386621006
-882.0028159946094	1541.4846361721732
-891.2395664434424	1541.4846361721732
-900.4763168922753	1541.4846361721732
-909.7130673411084	1541.4846361721732
-918.9498177899414	1541.4846361721732
-928.1865682387745	1541.4846361721732
-937.4233186876075	1541.4846361721732
-946.6600691364406	1541.4846361721732
-955.8968195852736	1541.4846361721732
-965.1335700341066	1550.721386621006
-974.3703204829396	1550.721386621006
-983.6070709317727	1550.721386621006
-992.8438213806057	1559.9581370698393
-1002.0805718294388	1559.9581370698393
-1011.3173222782718	1559.9581370698393
-1020.5540727271049	1559.9581370698393
-1029.790823175938	1559.9581370698393
-1039.0275736247709	1559.9581370698393
-1048.264324073604	1569.1948875186722
-1057.501074522437	1569.1948875186722
-1066.73782497127	1569.1948875186722
-1075.974575420103	1569.1948875186722
-1085.211325868936	1578.4316379675051
-1094.4480763177692	1578.4316379675051
-1103.684826766602	1587.6683884163383
-1112.9215772154353	1587.6683884163383
-1122.1583276642682	1596.9051388651712
-1131.3950781131011	1596.9051388651712
-1140.6318285619343	1596.9051388651712
-1149.8685790107672	1596.9051388651712
-1159.1053294596004	1596.9051388651712
-1168.3420799084333	1596.9051388651712
-1177.5788303572665	1596.9051388651712
-1186.8155808060994	1596.9051388651712
-1196.0523312549324	1587.6683884163383
-1205.2890817037655	1587.6683884163383
-1214.5258321525985	1587.6683884163383
-1223.7625826014316	1587.6683884163383
-1232.9993330502646	1587.6683884163383
-1242.2360834990977	1578.4316379675051
-1251.4728339479307	1587.6683884163383
-1260.7095843967636	1587.6683884163383
-1269.9463348455968	1587.6683884163383
-1279.1830852944297	1587.6683884163383
-1288.4198357432629	1596.9051388651712
-1297.6565861920958	1596.9051388651712
-1306.893336640929	1606.1418893140044
-1316.130087089762	1606.1418893140044
-1325.3668375385948	1606.1418893140044
-1334.603587987428	1615.3786397628373
-1343.840338436261	1615.3786397628373
-1353.077088885094	1615.3786397628373
-1362.313839333927	1615.3786397628373
-1371.5505897827602	1615.3786397628373
-1380.7873402315931	1615.3786397628373
-1390.024090680426	1615.3786397628373
-1399.2608411292592	1615.3786397628373
-1408.4975915780922	1606.1418893140044
-1417.7343420269253	1606.1418893140044
-1426.9710924757583	1596.9051388651712
-1436.2078429245914	1596.9051388651712
-1445.4445933734244	1587.6683884163383
-1454.6813438222575	1587.6683884163383
-1463.9180942710905	1578.4316379675051
-1473.1548447199234	1578.4316379675051
-1482.3915951687566	1569.1948875186722
-1491.6283456175895	1569.1948875186722
-1500.8650960664227	1559.9581370698393
-1510.1018465152556	1559.9581370698393
-1519.3385969640888	1550.721386621006
-1528.5753474129217	1550.721386621006
-1528.5753474129217	1541.4846361721732
-1537.8120978617546	1532.24788572334
-1547.0488483105878	1523.011135274507
-1547.0488483105878	1513.774384825674
-1556.2855987594207	1504.537634376841
-1556.2855987594207	1495.300883928008
-1565.522349208254	1486.0641334791749
-1565.522349208254	1476.827383030342
-1565.522349208254	1467.5906325815088
-1574.7590996570868	1458.3538821326758
-1574.7590996570868	1449.1171316838427
-1574.7590996570868	1439.8803812350097
-1574.7590996570868	1430.6436307861768
-1574.7590996570868	1421.4068803373436
-1574.7590996570868	1412.1701298885107
-1574.7590996570868	1402.9333794396775
-1565.522349208254	1393.6966289908446
-1565.522349208254	1384.4598785420114
-1565.522349208254	1375.2231280931785
-1565.522349208254	1365.9863776443456
-1565.522349208254	1356.7496271955124
-1565.522349208254	1347.5128767466795
-1565.522349208254	1338.2761262978463
-1565.522349208254	1329.0393758490134
-1556.2855987594207	1319.8026254001802
-1556.2855987594207	1310.5658749513473
-1556.2855987594207	1301.3291245025143
-1556.2855987594207	1292.0923740536812
-1547.0488483105878	1282.8556236048482
-1547.0488483105878	1273.618873156015
-1537.8120978617546	1264.3821227071821
-1537.8120978617546	1255.145372258349
-1528.5753474129217	1245.908621809516
-1519.3385969640888	1236.671871360683
-1510.1018465152556	1227.43512091185
-1510.1018465152556	1218.198370463017
-1510.1018465152556	1208.9616200141838
-1510.1018465152556	1199.724869565351
-1510.1018465152556	1190.4881191165177
-1510.1018465152556	1181.2513686676848
-1519.3385969640888	1172.0146182188519
-1528.5753474129217	1162.7778677700187
-1537.8120978617546	1153.5411173211858
-1547.0488483105878	1144.3043668723526
-1556.2855987594207	1135.0676164235197
-1565.522349208254	1125.8308659746865
-1574.7590996570868	1125.8308659746865
-1583.99585010592	1116.5941155258536
-1593.232600554753	1107.3573650770206
-1602.4693510035859	1107.3573650770206
-1602.4693510035859	1098.1206146281875
-1611.706101452419	1088.8838641793545
-1620.942851901252	1079.6471137305214
-1620.942851901252	1070.4103632816884
-1630.1796023500851	1061.1736128328553
-1630.1796023500851	1051.9368623840223
-1630.1796023500851	1042.7001119351894
-1630.1796023500851	1033.4633614863562
-1630.1796023500851	1024.2266110375233
-1620.942851901252	1014.9898605886901
-1620.942851901252	1005.7531101398572
-1620.942851901252	996.5163596910241
-1611.706101452419	987.2796092421911
-1611.706101452419	978.042858793358
-1611.706101452419	968.806108344525
-1611.706101452419	959.569357895692
-1602.4693510035859	950.3326074468589
-1602.4693510035859	941.095856998026
-1593.232600554753	931.8591065491929
-1593.232600554753	922.6223561003599
-1593.232600554753	913.3856056515268
-1583.99585010592	904.1488552026938
-1574.7590996570868	894.9121047538607
-1565.522349208254	885.6753543050277
-1565.522349208254	876.4386038561947
-1556.2855987594207	867.2018534073617
-1556.2855987594207	857.9651029585286
-1556.2855987594207	848.7283525096956
-1556.2855987594207	839.4916020608625
